"term","type","polarity"
"abonecados","adj",0
"aboquejar","V",-1
"aborcar","V",-1
"abordar","V",0
"aborigene","adj",-1
"aborigenes","adj",-1
"aborrecedor","adj",-1
"aborrecer","V",-1
"aborrecer-se","V",1
"aborrecida","adj",-1
"aborrecidas","adj",-1
"aborrecido","adj",-1
"aborrecidos","adj",-1
"aborrecivel","adj",-1
"aborrido","adj",-1
"aborrivel","adj",-1
"abortada","adj",-1
"abortadas","adj",-1
"abortado","adj",-1
"abortados","adj",-1
"abortar","V",-1
"abotoar","V",0
"abracada","adj",1
"abracadabrante","adj",1
"abracadabrico","adj",1
"abracadas","adj",1
"abracado","adj",1
"abracados","adj",1
"abracar","V",0
"abracar-se","V",1
"abrancar","V",1
"abrandar","V",0
"abrandar-se","V",1
"abrangente","adj",1
"abrangentes","adj",1
"abranger","V",0
"abrangida","adj",-1
"abrangidas","adj",-1
"abrangido","adj",-1
"abrangidos","adj",-1
"abrasar","V",0
"abrasar-se","V",1
"abrasear","V",-1
"abrasileirada","adj",0
"abrasileiradas","adj",0
"abrasileirado","adj",0
"abrasileirados","adj",0
"abrejar","V",1
"abreviar","V",0
"abrigada","adj",0
"abrigadas","adj",0
"abrigado","adj",0
"abrigados","adj",0
"abrigar","V",-1
"abrilhantada","adj",1
"abrilhantadas","adj",1
"abrilhantado","adj",1
"abrilhantados","adj",1
"abrilhantar","V",0
"abrir","V",-1
"abrir a alma","IDIOM",1
"abrir mao de","vb n prp",-1
"abrir o coracao","IDIOM",1
"abrir o possibilidade de","vb det n prp",1
"abrir os olhos","IDIOM",1
"abrir-se","V",-1
"ab-rogar","V",-1
"abrolhar","V",0
"abrupta","adj",-1
"abruptas","adj",-1
"abrupto","adj",-1
"abruptos","adj",-1
"abrutado","adj",-1
"abrutalhada","adj",-1
"abrutalhadas","adj",-1
"abrutalhado","adj",-1
"abrutalhados","adj",-1
"abrutalhar","V",1
"abrutar","V",1
"abscidar-se","V",1
"absentista","adj",-1
"absentistas","adj",-1
"absoluta","adj",1
"absolutas","adj",1
"absolutista","adj",0
"absolutistas","adj",0
"absoluto","adj",1
"absolutos","adj",1
"absolver","V",-1
"absolvida","adj",0
"absolvidas","adj",0
"absolvido","adj",0
"absolvidos","adj",0
"absonar","V",-1
"absorta","adj",-1
"absortas","adj",-1
"absorto","adj",-1
"absortos","adj",-1
"absorvente","adj",1
"absorventes","adj",1
"absorver","V",-1
"absorver-se","V",1
"abstemia","adj",1
"abstemias","adj",1
"abstemica","adj",1
"abstemicas","adj",1
"abstemico","adj",1
"abstemicos","adj",1
"abstemio","adj",1
"abstemios","adj",1
"abstencionista","adj",0
"abstencionistas","adj",0
"abster-se","V",0
"abstinente","adj",0
"abstinentes","adj",0
"abstraccionista","adj",0
"abstraccionistas","adj",0
"abstracta","adj",-1
"abstractas","adj",-1
"abstracto","adj",-1
"abstractos","adj",-1
"abstraida","adj",-1
"abstraidas","adj",-1
"abstraido","adj",-1
"abstraidos","adj",-1
"abstrair","V",1
"abstrair-se","V",0
"abstrata","adj",-1
"abstratas","adj",-1
"abstrato","adj",-1
"abstratos","adj",-1
